Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,100000
Base Time Seconds,1765323559
Base Time Fractional,.305288480
Base Time,12/09/2025 23:39:19.305288480
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,0.9436437487602,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999036788940,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.410872200
2,0.9436393380165,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998974800110,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.493551040
3,0.9436364769936,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999008178711,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.576224540
4,0.9436392784119,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999079704285,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.658905660
5,0.9436429738998,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999094009399,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.741587380
6,0.9436422586441,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999103546143,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.824273060
7,0.9436459541321,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999036788940,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.906980100
8,0.9436402916908,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999008178711,Volt DC,10,T,2W,F,F,12/10/2025,01:57:09,.989654720
9,0.9436323642731,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9998989105225,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.072329720
10,0.9436425566673,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999055862427,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.155031860
11,0.9436480998993,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999055862427,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.237727840
12,0.9436429738998,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999108314514,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.320432320
13,0.9436426758766,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999208450317,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.403114060
14,0.9436387419701,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999074935913,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.485801020
15,0.9436373114586,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999051094055,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.568480800
16,0.9436361789703,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999065399170,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.651152920
17,0.9436432719231,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999079704285,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.733830360
18,0.9436432123184,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999113082886,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.816514500
19,0.943641602993,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999012947083,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.899216580
20,0.9436408281326,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999079704285,Volt DC,10,T,2W,F,F,12/10/2025,01:57:10,.981886600
21,0.9436447620392,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999103546143,Volt DC,10,T,2W,F,F,12/10/2025,01:57:11,.064601920
22,0.9436485171318,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999103546143,Volt DC,10,T,2W,F,F,12/10/2025,01:57:11,.147303180
23,0.9436477422714,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999079704285,Volt DC,10,T,2W,F,F,12/10/2025,01:57:11,.230070980
24,0.943644464016,Amp DC,1,5.5,F,F,F,F,F,F,Front,F,Main,4.9999132156372,Volt DC,10,T,2W,F,F,12/10/2025,01:57:11,.312774420
